Type,Space
Event,Public
OutOfYoknapatawpha,Wider world
Church,Public
Cabin,Domestic
Public building,Public
Statue,Public
YoknapatawphaInset,Domestic
Farm,Domestic
Other Structure,Public
Office/store,Public
Mansion,Domestic
House,Domestic
Courthouse,Public
Cemetery,Public
Courthouse Square,Public
